title,textlist
Virelai,"['for', 'alternative', 'betydninger', 'se', 'virelai', 'musik', 'virelai', 'er', 'et', 'dansk', 'band', 'der', 'spiller', 'middelaldermusik', 'med', 'rekonstruerede', 'instrumenter', 'fra', 'perioden', 'gruppen', 'er', 'opkaldt', 'efter', 'den', 'gamle', 'fransk', 'virelai', 'danse', 'og', 'kærlighedssangform', 'fra', 'middelalderen', 'bandet', 'optræder', 'primært', 'på', 'middelaldermarkeder', 'rundt', 'om', 'i', 'landet', 'men', 'har', 'også', 'udgivet', 'fire', 'cder', 'gruppen', 'har', 'også', 'været', 'med', 'til', 'at', 'indspille', 'musik', 'til', 'den', 'danske', 'film', 'skammerens', 'datter', 'der', 'havde', 'premiere', 'i', 'martin', 'seeberg', 'blev', 'nomineret', 'til', 'prisen', 'som', 'årets', 'danske', 'instrumentalist', 'ved', 'danish', 'music', 'awards', 'folk', 'i', 'for', 'sin', 'musik', 'på', 'albummet', 'havmandens', 'kys', 'to', 'af', 'bandets', 'medlemmer', 'er', 'tidligere', 'medlemmer', 'af', 'et', 'andet', 'dansk', 'middelalderband', 'kaldet', 'valravn', 'og', 'to', 'af', 'de', 'tidligere', 'medlemmer', 'fra', 'virelai', 'er', 'i', 'dag', 'medlem', 'af', 'valravn', 'under', 'navnet', 'vitro', 'har', 'gruppen', 'også', 'optrådt', 'med', 'en', 'anden', 'middelaldergruppe', 'kaldet', 'truppo', 'trotto']"
B.O.C,"['boc', 'forkortelse', 'for', 'bomber', 'over', 'centrum', 'bars', 'of', 'crack', 'bombs', 'over', 'copenhagen', 'etc', 'er', 'en', 'dansk', 'rapgruppe', 'bestående', 'af', 'rapperne', 'gilli', 'kesi', 'og', 'benny', 'jamz', 'tidligere', 'og', 'til', 'tider', 'medlemmer', 'af', 'gruppen', 'er', 'også', 'noah', 'carter', 'statez', 'semih', 'automatisk', 'og', 'kimbo']"
F.I.P.,"['full', 'impact', 'productions', 'fip', 'eller', 'full', 'impact', 'productions', 'gangsta', 'clickclique', 'fipgc', 'er', 'en', 'sammenslutning', 'af', 'danske', 'hiphopkunstnere', 'gruppen', 'består', 'af', 'baid', 'orgie', 'og', 'rune', 'rask', 'der', 'tilsammen', 'udgør', 'gruppen', 'suspekt', 'johnson', 'loc', 'marwan', 'trools', 'uo', 'fips', 'udgivelser', 'tæller', 'bla', 'plader', 'som', 'suspekt', 'ingen', 'slukker', 'the', 'stars', 'dominologi', 'jegvilgerneduvilgerneviskalgerne', 'inkarneret', 'forklædt', 'som', 'voksen', 'perker', 'prima', 'nocte', 'jesus', 'og', 'hold', 'nu', 'gruppen', 'er', 'til', 'dato', 'danmarks', 'mest', 'succesrige', 'hiphopcrew', 'med', 'sammenlagt', 'omkring', 'solgte', 'eksemplarer', 'af', 'de', 'ni', 'udgivelser']"
MellemFingaMuzik,"['mellemfingamuzik', 'også', 'skrevet', 'mellemfingamuzik', 'er', 'en', 'dansk', 'hiphopgruppe', 'bestående', 'af', 'rapperne', 'ibrahim', 'kucukavci', 'og', 'benjamin', 'cimatu', 'der', 'er', 'bedre', 'kendt', 'som', 'stepz', 'og', 'branco']"
Selvmord (gruppe),"['for', 'alternative', 'betydninger', 'se', 'selvmord', 'flertydig', 'se', 'også', 'artikler', 'som', 'begynder', 'med', 'selvmord', 'selvmord', 'var', 'en', 'dansk', 'rapgruppe', 'bestående', 'af', 'liam', 'oconnor', 'loc', 'jonas', 'vestergaard', 'producer', 'og', 'komponist', 'og', 'suspekt', 'som', 'består', 'af', 'medlemmerne', 'rune', 'rask', 'emil', 'simonsen', 'orgie', 'og', 'andreas', 'bai', 'duelund', 'baid', 'gruppens', 'hidtidigt', 'største', 'hit', 'er', 'sangen', 'råbe', 'under', 'vand', 'som', 'omhandler', 'et', 'fejlende', 'forhold', 'gruppen', 'blev', 'præsenteret', 'den', 'september', 'deres', 'første', 'album', 'med', 'titlen', 'selvmord', 'blev', 'udgivet', 'den', 'november', 'men', 'blev', 'også', 'solgt', 'til', 'releasekoncerterne', 'holdt', 'den', 'november', 'i', 'imperial', 'biograf', 'selvmord', 'beskrev', 'sig', 'selv', 'i', 'et', 'interview', 'i', 'urban', 'bragt', 'den', 'november', 'som', 'mere', 'seriøse', 'end', 'det', 'de', 'tidligere', 'har', 'lavet', 'hver', 'for', 'sig', 'det', 'vises', 'også', 'i', 'teksterne', 'hvor', 'der', 'bandes', 'langt', 'mindre', 'end', 'der', 'blev', 'gjort', 'i', 'tidligere', 'suspekt', 'og', 'locsange', 'de', 'mener', 'at', 'selvmords', 'sange', 'kan', 'bruges', 'som', 'en', 'uddybning', 'af', 'sange', 'som', 'sut', 'den', 'op', 'fra', 'slap', 'og', 'undskyld', 'målet', 'med', 'selvmord', 'har', 'også', 'været', 'at', 'lave', 'et', 'mere', 'akustisk', 'album', 'end', 'førhen', 'hvorfor', 'der', 'også', 'bliver', 'spillet', 'på', 'akustisk', 'guitar', 'og', 'var', 'et', 'gammelt', 'klaver', 'med', 'til', 'releasekoncert', 'i', 'imperial', 'i', 'københavn', 'gruppen', 'gik', 'i', 'opløsning', 'i', 'da', 'loc', 'begyndte', 'arbejdet', 'på', 'sangen', 'fuldt', 'hus', 'sammen', 'med', 'uso', 'og', 'arpe']"
Suspekt (gruppe),"['suspekt', 'er', 'en', 'dansk', 'rapgruppe', 'som', 'består', 'af', 'de', 'tre', 'medlemmer', 'baid', 'orgie', 'rune', 'rask', 'alle', 'tre', 'er', 'opvokset', 'i', 'albertslund', 'gruppen', 'er', 'et', 'af', 'de', 'bedst', 'kendte', 'navne', 'i', 'dansk', 'hiphop', 'og', 'har', 'modtaget', 'positive', 'anmeldelser', 'specielt', 'for', 'deres', 'albums', 'prima', 'nocte', 'elektra', 'v', 'jesus', 'og', 'sindssyge', 'ting', 'stilmæssigt', 'laver', 'suspekt', 'rap', 'med', 'en', 'hård', 'kontant', 'stil', 'i', 'både', 'musik', 'og', 'tekster', 'deres', 'stil', 'er', 'blevet', 'henvist', 'til', 'som', 'horrorcore', 'suspekt', 'har', 'optrådt', 'på', 'roskilde', 'festival', 'smukfest', 'northside', 'festival', 'og', 'tinderbox', 'mfl', 'og', 'gruppen', 'har', 'samarbejdet', 'med', 'artister', 'som', 'kendrick', 'lamar', 'schoolboy', 'q', 'lukas', 'graham', 'tina', 'dichow', 'benal', 'og', 'jooks']"
The Gypsies,"['the', 'gypsies', 'er', 'et', 'dansk', 'hiphoprnb', 'band', 'med', 'en', 'lyd', 'der', 'til', 'dels', 'grunder', 'i', 'deres', 'tilgang', 'til', 'livekoncerter', 'i', 'modsætning', 'til', 'genrens', 'traditioner', 'spilles', 'alle', 'instrumenter', 'live', 'på', 'scenen', 'i', 'stedet', 'for', 'brug', 'af', 'backingtracks', 'eller', 'turntables', 'dette', 'performative', 'træk', 'kendes', 'også', 'i', 'udlandet', 'hos', 'for', 'eksempel', 'gruppen', 'the', 'roots', 'bandets', 'lyd', 'karakteriseres', 'også', 'ved', 'at', 'rapperne', 'shaka', 'loveless', 'og', 'benjamin', 'kissi', 'selv', 'synger', 'hooks', 'og', 'øvrige', 'vokaler', 'live', 'bandet', 'består', 'af', 'shaka', 'loveless', 'vokal', 'benjamin', 'kissi', 'vokal', 'lasse', 'boman', 'guitar', 'peter', 'blonde', 'bas', 'andreas', 'hagedorn', 'keyboard', 'birk', 'nevel', 'trommer', 'bandet', 'begyndte', 'før', 'årtusindeskiftet', 'som', 'the', 'electric', 'gypsies', 'med', 'en', 'mere', 'rockorienteret', 'lyd', 'med', 'tilføjelsen', 'af', 'benjamin', 'kissi', 'til', 'gruppen', 'startede', 'udviklingen', 'mod', 'en', 'mere', 'urban', 'lyd', 'og', 'et', 'deraf', 'følgende', 'navneskift', 'til', 'the', 'gypsies', 'the', 'gypsies', 'er', 'et', 'livenavn', 'i', 'danmark', 'og', 'har', 'ud', 'over', 'at', 'have', 'været', 'fast', 'backingband', 'for', 'danske', 'navne', 'som', 'jokeren', 'og', 'outlandish', 'også', 'været', 'opvarmning', 'for', 'navne', 'som', 'the', 'roots', 'og', 'the', 'fugees', 'til', 'disses', 'koncerter', 'i', 'danmark', 'i', 'udgav', 'the', 'gypsies', 'debutalbummet', 'one', 'hand', 'up', 'på', 'selskabet', 'superstar', 'records', 'videoen', 'til', 'singlen', 'part', 'of', 'me', 'kom', 'den', 'januar', 'ind', 'på', 'boogielisten', 'på', 'en', 'plads', 'og', 'var', 'den', 'første', 'chartplacering', 'på', 'de', 'populære', 'danske', 'hitlister', 'for', 'the', 'gypsies']"
4 Guys From the Future,"['guys', 'from', 'the', 'future', 'er', 'et', 'indierockband', 'fra', 'danmark', 'fra', 'bestående', 'af', 'bjarke', 'porsmose', 'jarno', 'varsted', 'mads', 'brinch', 'nielsen', 'aog', 'rasmus', 'valldorf', 'de', 'udgav', 'deres', 'debutalbum', 'under', 'the', 'new', 'morning', 'sun', 'i', 'og', 'det', 'modtog', 'fire', 'ud', 'af', 'seks', 'stjerner', 'i', 'musikmagasinet', 'gaffa', 'det', 'blev', 'senere', 'kåret', 'som', 'årets', 'tredjebedste', 'danske', 'album', 'af', 'bladets', 'anmeldere', 'i', 'december', 'samme', 'år', 'deres', 'andet', 'album', 'adagio', 'udkom', 'i', 'og', 'modtog', 'fem', 'ud', 'af', 'seks', 'stjerner', 'i', 'gaffa', 'og', 'samme', 'antal', 'fra', 'soundvenue']"
Bazookahosen,"['bazookahosen', 'er', 'et', 'dansk', 'indiebluesband', 'dannet', 'i', 'november', 'af', 'medlemmerne', 'i', 'alfabetisk', 'rækkefølge', 'julie', 'asmussen', 'sang', 'kazoo', 'bratch', 'mm', 'jenz', 'koudahl', 'percussion', 'mundharpe', 'sang', 'scratch', 'radio', 'mm', 'mikael', 'larsen', 'guitar', 'cigarkasseguitar', 'sang', 'mm', 'rasmus', 'meisler', 'guitar', 'bas', 'sang', 'og', 'percusssion', 'troels', 'nielsen', 'trommer', 'og', 'sylvester', 'roepstorff', 'basklarinet', 'tenorsaxofon', 'klarinet', 'dans', 'mm', 'julie', 'asmussen', 'forlod', 'bandet', 'efter', 'udgivelsen', 'af', 'den', 'første', 'cdudgivelse', 'fra', 'denne', 'blev', 'indspillet', 'i', 'gula', 'studion', 'i', 'malmø', 'udgivet', 'på', 'cookie', 'tin', 'records', 'og', 'hed', 'bazookahosen', 'bandets', 'anden', 'cd', 'med', 'titlen', 'asfalt', 'udkom', 'på', 'samme', 'selskab', 'i', 'indspillet', 'i', 'ninth', 'world', 'musics', 'studier', 'med', 'per', 'oliver', 'jørgens', 'som', 'tekniker', 'albummet', 'fik', 'tre', 'ud', 'af', 'seks', 'stjerner', 'i', 'musikmagasinet', 'gaffa', 'og', 'fire', 'ud', 'af', 'seks', 'stjerner', 'hos', 'soundvenue', 'i', 'og', 'lavede', 'bazookahosen', 'musik', 'til', 'tim', 'feldmanns', 'to', 'koreografier', 'ene', 'ikke', 'alene', 'og', 'den', 'eksploderede', 'mand', 'hvor', 'det', 'også', 'indgik', 'i', 'selve', 'koreografien', 'med', 'denne', 'forestilling', 'var', 'bandet', 'bla', 'i', 'durban', 'sydafrika', 'bazookahosen', 'er', 'mest', 'kendt', 'for', 'nummeret', 'per', 'arnoldi', 'som', 'det', 'bla', 'har', 'optrådt', 'med', 'i', 'tvudsendelsen', 'den', 'time', 'på', 'dr', 'hvor', 'kunstneren', 'per', 'arnoldi', 'var', 'aftenens', 'gæst', 'bazookahosen', 'har', 'deltaget', 'i', 'de', 'første', 'cigarboxguitarfestivaler', 'i', 'kentucky', 'i', 'og', 'samme', 'år', 'fremførte', 'bandet', 'deres', 'suite', 'hvad', 'blev', 'der', 'af', 'de', 'gamle', 'danske', 'færger', 'i', 'den', 'anden', 'opera', 'bazookahosen', 'var', 'sidst', 'på', 'turn', 'på', 'vestkysten', 'i', 'usa', 'i', 'bazookahosen', 'spiller', 'fortsat', 'og', 'optræder', 'med', 'jævne', 'mellemrum']"
Escape Artists,"['escape', 'artists', 'er', 'et', 'dansk', 'post', 'punkband', 'som', 'blev', 'dannet', 'i', 'haderslev', 'sønderjylland', 'de', 'var', 'aktive', 'på', 'den', 'danske', 'punk', 'og', 'post', 'punkscene', 'frem', 'til', 'hvorefter', 'de', 'holdt', 'pause', 'frem', 'til']"
Gangway,"['gangway', 'er', 'en', 'dansk', 'indie', 'gruppe', 'der', 'blev', 'dannet', 'i', 'københavn', 'i', 'det', 'var', 'en', 'af', 'de', 'første', 'danske', 'grupper', 'der', 'fandt', 'inspiration', 'på', 'den', 'britiske', 'indiescene', 'blandt', 'grupper', 'som', 'the', 'cure', 'the', 'jam', 'og', 'madness', 'for', 'sidstnævntes', 'vedkommende', 'ikke', 'mindst', 'visuelt', 'i', 'gads', 'musikleksikon', 'kan', 'læses', 'at', 'gruppens', 'musik', 'er', 'elegant', 'og', 'melodiøs', 'pop', 'ofte', 'med', 'et', 'humoristisk', 'islæt', 'underfundig', 'i', 'kompositorisk', 'opbygning', 'såvel', 'metrisk', 'som', 'harmonisk', 'gruppens', 'lyd', 'har', 'udviklet', 'sig', 'fra', 'at', 'være', 'baseret', 'i', 'rock', 'og', 'popmusik', 'til', 'også', 'at', 'hente', 'inspiration', 'i', 'techno', 'og', 'dance', 'gruppen', 'fik', 'fra', 'strammet', 'det', 'visuelle', 'udtryk', 'op', 'i', 'samarbejde', 'med', 'designeren', 'peter', 'ravn', 'som', 'stod', 'for', 'alle', 'pladeomslag', 'musikvideoer', 'samt', 'musikfilmen', 'gangway', 'i', 'tyrol', 'fra', 'gangway', 'udgav', 'deres', 'to', 'første', 'album', 'på', 'det', 'lille', 'uafhængige', 'københavnske', 'pladeselskab', 'irmgardz', 'deres', 'største', 'hits', 'i', 'danmark', 'er', 'my', 'girl', 'and', 'me', 'fra', 'og', 'mountain', 'song', 'fra', 'for', 'hvilken', 'de', 'modtog', 'en', 'dansk', 'grammy', 'gruppen', 'oplevede', 'interesse', 'fra', 'flere', 'udenlandske', 'pladeselskaber', 'og', 'skrev', 'også', 'kontrakt', 'i', 'england', 'flere', 'gange', 'det', 'førte', 'til', 'positiv', 'omtale', 'og', 'et', 'mindre', 'radiohit', 'men', 'aldrig', 'til', 'et', 'egentligt', 'gennembrud', 'efter', 'syv', 'studiealbums', 'blev', 'gangway', 'opløst', 'i', 'gruppen', 'annoncerede', 'i', 'en', 'række', 'comebackkoncerter', 'i', 'oktober', 'samme', 'år', 'i', 'forbindelse', 'med', 'gendannelsen', 'har', 'gruppen', 'meddelt', 'at', 'de', 'er', 'i', 'gang', 'med', 'at', 'skrive', 'nye', 'sange', 'til', 'et', 'nyt', 'album']"
I Got You On Tape,"['i', 'got', 'you', 'on', 'tape', 'er', 'et', 'dansk', 'rockband', 'der', 'blev', 'dannet', 'i', 'foråret', 'i', 'københavn', 'flere', 'af', 'musikerne', 'kommer', 'fra', 'den', 'den', 'danske', 'jazzscene', 'men', 'efter', 'eget', 'udsagn', 'valgte', 'frontmand', 'jacob', 'bellens', 'ikke', 'en', 'besætning', 'af', 'jazzmusikere', 'til', 'sit', 'rockband', 'fordi', 'han', 'var', 'ude', 'efter', 'en', 'særligt', 'jazzet', 'lyd', 'han', 'synes', 'bare', 'de', 'fire', 'jazzdrenge', 'spillede', 'godt', 'bandet', 'består', 'udover', 'forsanger', 'jacob', 'bellens', 'som', 'har', 'gjort', 'sig', 'bemærket', 'i', 'bandet', 'murder', 'af', 'musikere', 'kendt', 'fra', 'et', 'bredt', 'udsnit', 'af', 'den', 'københavnske', 'musikscene', 'bla', 'beautiful', 'day', 'mouritz', 'anderskov', 'accident', 'mfl', 'bandets', 'musik', 'er', 'blevet', 'beskrevet', 'som', 'et', 'møde', 'mellem', 'joy', 'division', 'og', 'erfænomenet', 'love', 'og', 'musikken', 'favner', 'bredt', 'i', 'dens', 'mange', 'referencer', 'til', 'rockhistorien', 'af', 'inspirationskilder', 'nævner', 'de', 'selv', 'scott', 'walker', 'og', 'britiske', 'the', 'fall', 'bandets', 'selvbetitlede', 'debutalbum', 'i', 'got', 'you', 'on', 'tape', 'udkom', 'på', 'nikolaj', 'nørlunds', 'pladeselskab', 'auditorium', 'i', 'deres', 'andet', 'album', 'kom', 'på', 'gaden', 'i', 'hvor', 'man', 'bla', 'kunne', 'finde', 'nummeret', 'somersault', 'i', 'oktober', 'udkom', 'albummet', 'spinning', 'for', 'the', 'cause', 'og', 'i', 'got', 'you', 'on', 'tape', 'var', 'blevet', 'reduceret', 'til', 'en', 'kvartet', 'idet', 'guitarist', 'jakob', 'bro', 'havde', 'forladt', 'bandet', 'tidligere', 'på', 'året', 'i', 'got', 'you', 'on', 'tape', 'vandt', 'p', 'prisen', 'og', 'de', 'medfølgende', 'kroner', 'ved', 'p', 'guld', 'den', 'januar']"
Lovebites,"['lovebites', 'er', 'en', 'indiepoprockgruppe', 'fra', 'danmark', 'der', 'eksisterede', 'fra', 'til']"
The Naked,"['the', 'naked', 'var', 'et', 'københavnsk', 'indierock', 'orkester', 'som', 'eksisterede', 'fra', 'slutningen', 'af', 'erne', 'og', 'gik', 'i', 'opløsning', 'i', 'orkesteret', 'startede', 'som', 'naked', 'lunch', 'optrådte', 'senere', 'under', 'navnet', 'naked', 'for', 'at', 'ende', 'som', 'the', 'naked', 'the', 'naked', 'introducerede', 'den', 'eksperimentelle', 'støjende', 'og', 'forvrængede', 'lyd', 'fra', 'den', 'daværende', 'amerikanske', 'og', 'britiske', 'indierock', 'til', 'den', 'københavnske', 'musikscene', 'inspireret', 'af', 'postpunk', 'bands', 'som', 'sonic', 'youth', 'swans', 'my', 'bloody', 'valentine', 'og', 'loop', 'senere', 'bevægede', 'bandet', 'sig', 'i', 'en', 'mere', 'introvert', 'retning', 'bandets', 'andet', 'album', 'pass', 'out', 'var', 'produceret', 'af', 'chris', 'brokaw', 'fra', 'come', 'og', 'codeine', 'the', 'naked', 'spillede', 'sammen', 'med', 'come', 'på', 'bandets', 'nordeuropæiske', 'tourne', 'i', 'steen', 'jørgensen', 'sort', 'sol', 'sang', 'leadvokal', 'på', 'en', 'sang', 'fra', 'bandets', 'ep', 'some', 'kind', 'of', 'beautiful', 'efter', 'opløsningen', 'forsatte', 'de', 'fleste', 'medlemmer', 'i', 'ensemble', 'orlando']"
ADS (band),"['for', 'alternative', 'betydninger', 'se', 'ads', 'se', 'også', 'artikler', 'som', 'begynder', 'med', 'ads', 'ads', 'var', 'dansk', 'punkband', 'med', 'bla', 'stig', 'pedersen', 'dad', 'og', 'lars', 'topgalia', 'sort', 'sol', 'der', 'eksisterede', 'fra', 'ads', 'havde', 'følgende', 'medlemmer', 'ved', 'starten', 'i', 'michael', 'funder', 'thorlasius', 'sang', 'stig', 'pedersen', 'bas', 'søren', 'slys', 'johnsen', 'karsten', 'hjarsø', 'trommer', 'og', 'guitar', 'senere', 'medlemmer', 'af', 'bandet', 'ucr', 'og', 'peter', 'topjensen', 'trommer', 'og', 'bror', 'til', 'sort', 'sols', 'lars', 'topgalia', 'i', 'blev', 'søren', 'søndergaard', 'johnsen', 'og', 'karsten', 'hjarsø', 'ucr', 'erstattet', 'af', 'lars', 'topgalia', 'guitar', 'senere', 'blev', 'stig', 'pedersen', 'erstattet', 'af', 'martin', 'krogh', 'bas', 'exmartin', 'and', 'the', 'martians', 'front', 'and', 'fantasy']"
Amdi Petersens Armé,"['der', 'er', 'for', 'få', 'eller', 'ingen', 'kildehenvisninger', 'i', 'denne', 'artikel', 'hvilket', 'er', 'et', 'problem', 'du', 'kan', 'hjælpe', 'ved', 'at', 'angive', 'troværdige', 'kilder', 'til', 'de', 'påstande', 'som', 'fremføres', 'i', 'artiklen', 'amdi', 'petersens', 'arm', 'var', 'et', 'dansk', 'hardcore', 'punkband', 'bandets', 'lyd', 'var', 'inspireret', 'af', 'tidlig', 'us', 'hardcore', 'musikken', 'var', 'simpel', 'rå', 'hurtig', 'og', 'med', 'danske', 'teksterkilde', 'mangler', 'bandets', 'navn', 'er', 'inspireret', 'af', 'navnet', 'på', 'den', 'danske', 'grundlægger', 'af', 'skolesamarbejdet', 'tvind', 'mogens', 'amdi', 'petersen', 'medlemmer', 'af', 'bandet', 'blev', 'senere', 'en', 'del', 'af', 'andre', 'punkbands', 'såsom', 'no', 'hope', 'for', 'the', 'kids', 'og', 'gorilla', 'angrebkilde', 'mangler', 'tommas', 'banger', 'svendsen', 'var', 'desuden', 'medstifter', 'af', 'pladeselskabet', 'kicknpunch', 'der', 'udgav', 'de', 'fleste', 'danske', 'punk', 'bands', 'i', 'periodenkilde', 'mangler']"
Ballet Mécanique (band),"['for', 'alternative', 'betydninger', 'se', 'ballet', 'mcanique', 'se', 'også', 'artikler', 'som', 'begynder', 'med', 'ballet', 'mcanique', 'ballet', 'mcanique', 'var', 'et', 'dansk', 'postpunkpunkband', 'bestående', 'af', 'sanger', 'og', 'multiinstrumentalist', 'martin', 'hall', 'på', 'bla', 'guitar', 'og', 'flygel', 'trommeslager', 'michael', 'karshøj', 'og', 'bassist', 'og', 'violinist', 'morten', 'versner', 'genremæssigt', 'arbejdede', 'ballet', 'mcanique', 'indenfor', 'postpunken', 'med', 'sporadiske', 'regulære', 'punkelementer', 'denne', 'genrebeskrivelse', 'er', 'dog', 'ikke', 'helt', 'dækkende', 'for', 'bandet', 'der', 'eksperimenterede', 'bredere', 'og', 'tydeligt', 'skubbede', 'til', 'de', 'genremæssige', 'grænser', 'ballet', 'mcaniques', 'mangefacetterede', 'musikalske', 'udtryk', 'var', 'inciterende', 'overlagt', 'monotont', 'det', 'lå', 'i', 'tiden', 'og', 'legendefabulerende', 'musikken', 'spillede', 'på', 'mange', 'følelsesmæssige', 'tangenter', 'som', 'sørgmodighed', 'desperation', 'og', 'skørhed', 'som', 'udtryk', 'for', 'afmagtdesillusion', 'og', 'numrene', 'vekslede', 'ofte', 'arrangementsmæssigt', 'mellem', 'struktur', 'og', 'styret', 'opløsning', 'bandet', 'og', 'ikke', 'mindst', 'den', 'nemt', 'genkendelige', 'vokal', 'havde', 'en', 'umiskendelig', 'britisk', 'tone', 'ballet', 'mcanique', 'skabte', 'deres', 'eget', 'unikke', 'og', 'komplekse', 'musikalske', 'univers', 'med', 'intellektuelletænksommereflekterende', 'tekstmæssige', 'over', 'og', 'undertoner', 'ballet', 'mcanique', 'spillede', 'bla', 'til', 'de', 'stort', 'anlagte', 'punkfestivaler', 'concerto', 'de', 'nobrainos', 'insanos', 'og', 'nosferatu', 'festival', 'en', 'tidlig', 'inkarnation', 'af', 'bandet', 'hed', 'identity', 'og', 'spillede', 'til', 'concert', 'of', 'the', 'moment', 'identity', 'var', 'stort', 'set', 'samme', 'band', 'som', 'ballet', 'mcanique', 'blot', 'med', 'henrik', 'nordahl', 'på', 'trommer', 'i', 'stedet', 'for', 'michael', 'karshøj', 'ballet', 'mcaniques', 'debutkoncert', 'var', 'sandsynligvis', 'i', 'rockmaskinen', 'den', 'februar', 'identitys', 'debut', 'var', 'til', 'concert', 'of', 'the', 'moment', 'den', 'november', 'martin', 'hall', 'opløste', 'gruppen', 'ved', 'at', 'læse', 'en', 'opløsningsdeklaration', 'højt', 'for', 'publikum', 'under', 'deres', 'sidste', 'koncert', 'på', 'det', 'hedengangne', 'punkspillested', 'saltlageret', 'den', 'oktober', 'bandnavnet', 'ballet', 'mcanique', 'er', 'taget', 'fra', 'fernand', 'lgers', 'eksperimentalfilm', 'fra', 'af', 'samme', 'navn', 'titlen', 'på', 'bandets', 'debutalbum', 'the', 'icecold', 'waters', 'of', 'the', 'egocentric', 'calculation', 'er', 'en', 'tekstbid', 'hentet', 'i', 'første', 'kapitel', 'af', 'det', 'kommunistiske', 'manifest', 'bandet', 'udgav', 'singlen', 'avenues', 'of', 'oblivion', 'better', 'day', 'records', 'samt', 'de', 'to', 'albums', 'the', 'icecold', 'waters', 'of', 'the', 'egocentric', 'calculation', 'cbs', 'sony', 'bmg', 'og', 'for', 'cbs']"
Black Badges,"['black', 'badges', 'var', 'et', 'dansk', 'punkrock', 'band', 'der', 'udsprang', 'fra', 'vallensbæk', 'statsskole', 'bandet', 'debuterede', 'til', 'den', 'legendariske', 'punkfestival', 'concert', 'of', 'the', 'moment', 'i', 'og', 'åbner', 'concert', 'of', 'the', 'moment', 'albummet', 'fra', 'med', 'numrene', 'life', 'og', 'no', 'soldier', 'no', 'war', 'black', 'badges', 'spillede', 'punk', 'ligesom', 'de', 'fleste', 'punkbands', 'i', 'perioden', 'men', 'havde', 'saxofon', 'med', 'der', 'gav', 'bandet', 'en', 'lidt', 'anden', 'lyd', 'lidt', 'henad', 'et', 'band', 'som', 'engelske', 'xray', 'spex', 'bandet', 'spillede', 'i', 'deres', 'levetid', 'bla', 'på', 'spillesteder', 'som', 'saltlageret', 'og', 'rockmaskinen', 'og', 'sammen', 'med', 'punkbands', 'som', 'bla', 'bollocks', 'gate', 'crashers', 'og', 'cityx', 'mfl', 'bandmedlemmerne', 'i', 'black', 'badges', 'var', 'bjarne', 'høvik', 'søby', 'vokal', 'guitar', 'pylle', 'quaade', 'guitar', 'michael', 'valeur', 'saxofon', 'ole', 'dreyer', 'bas', 'også', 'i', 'gate', 'crashers', 'og', 'lange', 'jan', 'trommer']"
